module	bytes	esdid	address	ifox	as370
ICBVMG00	1	1	000BC9	00	37
IDA019S6	1	1	0000B1	A0	E0
IECIHIO	1	1	00035D	E0	EB
IECVXURT	1	1	00001E	A0	F0
IEDQAX	1	1	000077	20	21
IEDQFA	1	1	001D7D	E0	E5
IEDQFA2	1	1	0017E1	E0	E5
IEFAB469	1	1	00095D	04	05
IEFAB4EF	1	1	0005ED	04	05
IEFAB4F4	1	1	00068D	04	05
IEFAB4F5	1	1	000909	04	05
IEFICPUA	1	1	0000A5	08	05
IFDOLT43	1	1	00002D	A0	78
IGX00013	1	1	0008D5	06	07
IGX00014	1	1	0006F1	06	07
IRBMFMFC	1	1	000609	06	07
IRBMFTMA	1	1	0004DD	06	07
IEAXPDXR	2	2	0001ED	80	88
IEAXPDXR	2	2	00031B	E0	E8
IECVXVRT	2	1	000018	00	91
IECVXVRT	2	1	000019	00	0B
IEDQAS	2	1	00007D	E0	E4
IEDQAS	2	1	00064D	E0	E4
IEFIB620	2	1	000325	02	05
IEFIB620	2	1	000335	08	06
IFDOLT46	2	1	000055	0B	05
IFDOLT46	2	1	0003AD	0B	05
IFFPBAPR	2	1	000029	50	55
IFFPBAPR	2	1	000357	50	DC
IFFPDAPL	2	1	000027	40	44
IFFPDAPL	2	1	000C09	40	50
IFFPGAVP	2	1	000027	40	44
IFFPGAVP	2	1	000A21	40	50
IFFPHALA	2	1	000029	70	77
IFFPHALA	2	1	000315	70	F4
IGC0003C	2	1	000618	04	06
IGC0003C	2	1	000619	F0	F4
IKJEES75	2	1	00051D	03	07
IKJEES75	2	1	000529	03	07
IEAVPSI	3	1	000459	1F	3F
IEAVPSI	3	1	0004AD	1F	3F
IEAVPSI	3	1	00062D	1F	3F
IECVCRHH	3	1	0002D4	04	07
IECVCRHH	3	1	0002D5	C0	E8
IECVCRHH	3	1	00039F	A0	FF
IECVESIO	3	1	000126	10	00
IECVESIO	3	1	000140	10	00
IECVESIO	3	1	000A18	10	00
IECVXDAS	3	1	000105	C0	C8
IECVXDAS	3	1	000157	C0	C8
IECVXDAS	3	1	000189	C0	C4
IECVXMGN	3	1	00000C	00	96
IECVXMGN	3	1	00000D	00	20
IECVXMGN	3	1	00000F	00	0E
IEDQWIE	3	1	0000D4	25	05
IEDQWIE	3	1	00013A	25	05
IEDQWIE	3	1	0002E6	25	05
IEEMB812	3	1	0005A9	08	07
IEEMB812	3	1	0005B5	08	07
IEEMB812	3	1	0006E5	08	07
BLSUPUT	4	1	000040	58	00
BLSUPUT	4	1	000041	F0	00
BLSUPUT	4	1	000042	C1	00
BLSUPUT	4	1	000043	44	00
IEAXPALL	4	2	000325	80	88
IEAXPALL	4	2	000513	E0	E8
IEAXPALL	4	2	0005EC	2E	3E
IEAXPALL	4	2	000752	2E	3E
IECVXT2S	4	1	000030	00	91
IECVXT2S	4	1	000031	00	08
IECVXT2S	4	1	000032	00	02
IECVXT2S	4	1	000033	00	11
IFNX5V	4	1	00066D	F0	F1
IFNX5V	4	1	00066E	F5	F2
IFNX5V	4	1	000670	F3	F0
IFNX5V	4	1	000671	F4	F0
IFOX0A	4	1	000499	F0	F1
IFOX0A	4	1	00049A	F5	F2
IFOX0A	4	1	00049C	F2	F0
IFOX0A	4	1	00049D	F4	F0
