module	section	len_ifox	len_as370	first_diff	diff_bytes	kind
AMDPRUIM	AMDPRUIM	2676	2668	0x00067	6	length
AMDPRUIM	AMDUIMMG	3230	3222	0x00a72	473	length
BLSR3270	BLSR3270	1736	1736	0x00513	1	text
BLSR3270	BLSR327A	8160	8168	0x00739	667	length
BLSR3270	PC	8249	8257	0x01fe1	81	length
BNGC3270	BNGC3270	8344	8168	0x00000	6220	length
BNGCDISP	BNGCDISP	7344	7032	0x00000	5015	length
BNGCLOCL	BNGCLOCL	6693	6685	0x00000	5344	length
BNGCMENU	BNGCMENU	2120	2096	0x00000	1923	length
BNGCRMOT	BNGCRMOT	11886	11878	0x00000	8405	length
IEAVEXS	IEAVEXS	428	432	0x0002b	106	length
IEAVRTI0	IEA0TI00	3792	3792	0x0002b	2480	text
IEAVTPER	IEAVTPER	1048	1048	0x0002c	31	text
IEAXPALL	IEAXKALL	2752	2752	0x005ec	2	text
IECIOSAM	IECIOSCN	14913	14913	0x00660	42	text
IECVCINT	IECVCINT	3732	3732	0x00124	7	text
IECVESIO	IECVESIO	3019	3019	0x00126	3	text
IECVHDET	#5	1040	0	0x00000	0	unnamed
IECVHDET	IECVHDET	1027	1027	0x003aa	2	text
IECVHDET	IECVHIDT	0	1040	0x00000	0	section only on one side
IECVMAP	IECVMAP	426	426	0x000b8	5	text
IECVXDRS	IECVXDRS	509	509	0x00062	37	text
IECVXDRT	IECVXDRT	145	145	0x00028	12	text
IECVXMGN	IECVXMGN	45	45	0x0000c	3	prologue
IECVXT2S	IECVXT2S	217	217	0x00030	4	text
IECVXURT	IECVXURT	73	73	0x0001e	1	text
IECVXVRS	IECVXVRS	569	569	0x0002e	143	text
IECVXVRT	IECVXVRT	197	197	0x00018	2	text
IECVXVRU	IECVXVRU	49	49	0x00000	15	prologue
IEDQWIE	IEDQWIE	3632	3632	0x000d4	3	text
IFCE0115	#1	1131	1012	0x0002a	631	unnamed
IFCE0125	#1	2171	2288	0x00001	1546	unnamed
IFCE1017	#1	1039	1248	0x00020	552	unnamed
IFCE1018	#1	1027	1228	0x00020	556	unnamed
IFCE33XX	IFCE33XX	5432	5432	0x00127	2855	text
IFCE3401	#1	615	652	0x0003e	348	unnamed
IFCE5424	#1	684	607	0x0003a	282	unnamed
IFCEARG1	IFCEARG1	338	459	0x00033	209	length
IFCEARG2	IFCEARG2	338	459	0x00033	209	length
IFCEARG3	IFCEARG3	338	459	0x00033	209	length
IFCEARG4	IFCEARG4	338	491	0x00033	210	length
IFCEARG5	IFCEARG5	338	523	0x00032	230	length
IFCEARG6	IFCEARG6	310	259	0x00033	121	length
IFCEARG7	IFCEARG7	234	195	0x00033	110	length
IFCECUT0	IFCECUT0	567	428	0x0014b	84	length
IFCEFBA4	IFCEFBA4	573	413	0x00142	78	length
IFCEFBA5	IFCEFBA5	573	413	0x00142	78	length
IFCENF11	IFCENF11	928	1080	0x00218	320	length
IFCENFH3	IFCENFH3	727	852	0x00180	271	length
IFCENFM3	IFCENFM3	756	919	0x00180	299	length
IFCENFP1	IFCENFP1	916	1071	0x00218	326	length
IFCENFP2	IFCENFP2	756	884	0x00180	299	length
IFCET040	#1	667	756	0x0001c	452	unnamed
IFCETRN6	#1	831	988	0x00098	471	unnamed
IFCETRN7	#1	235	104	0x0000c	45	unnamed
IFCEWIN2	IFCEWIN2	1089	1325	0x001ea	415	length
IFCEWOD1	IFCEWOD1	1197	1440	0x0006a	488	length
IFCS0115	#1	567	732	0x00064	274	unnamed
IFCS1017	#1	579	704	0x00057	203	unnamed
IFCS1018	#1	572	696	0x00057	200	unnamed
IFCS33XX	#1	156	150	0x00096	0	unnamed
IFCS33XX	IFCS33XX	359	276	0x00110	2	length
IFCS5424	#1	987	1420	0x00007	473	unnamed
IFCSI115	#1	556	840	0x00068	285	unnamed
IFDOLT12	IFDOLT12	2181	2957	0x00050	59	length
IFDOLT14	IFDOLT14	1737	2953	0x00316	39	length
IFDOLT39	IFDOLT39	2572	2924	0x00558	4	length
IFNX3A	IFNX3A00	3858	3858	0x00d4f	1	text
IFNX3A	IFNX3A03	6922	6922	0x00f6d	2198	text
IFNX5D	IFNX5D00	4908	4908	0x012d5	3	text
IFNX5M	IFNX5M00	2781	2781	0x00040	649	text
IFNX5P	IFNX5P00	2344	2344	0x0005d	1597	text
IGARPT01	IGARPT01	5756	5756	0x004bc	94	text
IGC0001F	IGC016	6088	6088	0x01310	4	text
IGG019RO	IGG019RO	1194	1194	0x00000	425	prologue
IKJEBELT	IKJEBELT	1568	1568	0x001af	1	text
IKJEGAT	IKJEGAT	3762	3762	0x00026	88	text
IKJEGATD	IKJEGATD	822	822	0x00032	50	text
IKJEGMNL	IKJEGMNL	4662	4662	0x001ef	3	text
