module	as370_rc	as370_flagged	as370_severity	as370_messages	ifox_rc	ifox_flagged	ifox_severity	ifox_messages	tool	first_diff	len_ifox	len_as370	dlib	signal	owner	excluded
IGC0001F	0				0000				bytes	0x01310	6088	6088	no-pair	silent divergence	cc370	
IGARPT01	8	9	8	IFO026 Continuation card is empty - nothing between the continue column and 71 | Addressability error - no active USING covers the operand's section (base and displacement set to 0)	0004	8	4	IFO026 CHARACTERS APPEAR BETWEEN THE BEGIN AND CONTINUE COLUMNS ON CONTINUATION CARD	bytes	0x004bc	5756	5756	mixed	silent divergence	cc370	
IFCEA155	0				0000				bytes	0x00161	5669	5661	length	silent divergence	cc370	
IECVCINT	0				0000				bytes	0x00124	3732	3732	length	silent divergence	cc370	
IECVESIO	0				0000				bytes	0x00126	3019	3019	length	silent divergence	cc370	
IEAXPALL	0				0000				bytes	0x005ec	2752	2752	length	silent divergence	cc370	
AMDPRUIM	0				0000				bytes	0x00067	2676	2668	length	silent divergence	cc370	
IFDOLT39	0				0000				bytes	0x00558	2572	2924	length	silent divergence	cc370	
IFNX5P	0				0000				bytes	0x0005d	2344	2344	mixed	silent divergence	cc370	
IFDOLT12	0				0000				cards	0x00050	2181	2957	length	silent divergence	cc370	
IFDOLT14	0				0000				bytes	0x00316	1737	2953	length	silent divergence	cc370	
BLSR3270	0				0004	20	4	IFO197 *** MNOTE ***	bytes	0x00513	1736	1736	length	silent divergence	cc370	
IKJEBELT	0				0000				bytes	0x001af	1568	1568	no-pair	silent divergence	cc370	
HMASMTMD	0				0000				cards				identical	silent divergence	cc370	
IFFAHA16	0				0000				bytes				identical	silent divergence	cc370	
IFNX1A	0				0000				bytes				length	silent divergence	cc370	
IFNX1J	0				0000				bytes				text	silent divergence	cc370	
IFNX3N	0				0000				bytes				text	silent divergence	cc370	
IFNX5A	0				0000				bytes				text	silent divergence	cc370	
IFNX5C	0				0000				bytes				text	silent divergence	cc370	
IFNX5V	0				0000				bytes				text	silent divergence	cc370	
IFNX6B	0				0000				bytes				length	silent divergence	cc370	
IGC0E05A	0				0000				bytes				length	silent divergence	cc370	
